t,if,il,vl
2.6200,10.0000,9.0105,0.9895
2.6300,10.0000,9.0204,0.9796
2.6400,10.0000,9.0301,0.9699
2.6500,10.0000,9.0398,0.9602
2.6600,10.0000,9.0493,0.9507
2.6700,10.0000,9.0588,0.9412
2.6800,10.0000,9.0681,0.9319
2.6900,10.0000,9.0774,0.9226
2.7000,10.0000,9.0866,0.9134
2.7100,10.0000,9.0957,0.9043
2.7200,10.0000,9.1047,0.8953
2.7300,10.0000,9.1136,0.8864
2.7400,10.0000,9.1224,0.8776
2.7500,10.0000,9.1311,0.8689
2.7600,10.0000,9.1398,0.8602
2.7700,10.0000,9.1483,0.8517
2.7800,10.0000,9.1568,0.8432
2.7900,10.0000,9.1652,0.8348
2.8000,10.0000,9.1735,0.8265
2.8100,10.0000,9.1817,0.8183
2.8200,10.0000,9.1899,0.8101
2.8300,10.0000,9.1979,0.8021
2.8400,10.0000,9.2059,0.7941
2.8500,10.0000,9.2138,0.7862
2.8600,10.0000,9.2216,0.7784
2.8700,10.0000,9.2294,0.7706
2.8800,10.0000,9.2370,0.7630
2.8900,10.0000,9.2446,0.7554
2.9000,10.0000,9.2522,0.7478
2.9100,10.0000,9.2596,0.7404
2.9200,10.0000,9.2670,0.7330
2.9300,10.0000,9.2743,0.7257
2.9400,10.0000,9.2815,0.7185
2.9500,10.0000,9.2886,0.7114
2.9600,10.0000,9.2957,0.7043
2.9700,10.0000,9.3027,0.6973
2.9800,10.0000,9.3097,0.6903
2.9900,10.0000,9.3165,0.6835
3.0000,10.0000,9.3233,0.6767
3.0100,10.0000,9.3301,0.6699
3.0200,10.0000,9.3367,0.6633
3.0300,10.0000,9.3433,0.6567
3.0400,10.0000,9.3499,0.6501
3.0500,10.0000,9.3563,0.6437
3.0600,10.0000,9.3627,0.6373
3.0700,10.0000,9.3691,0.6309
3.0800,10.0000,9.3753,0.6247
3.0900,10.0000,9.3816,0.6184
3.1000,10.0000,9.3877,0.6123
3.1100,10.0000,9.3938,0.6062
3.1200,10.0000,9.3998,0.6002
3.1300,10.0000,9.4058,0.5942
3.1400,10.0000,9.4117,0.5883
3.1500,10.0000,9.4176,0.5824
3.1600,10.0000,9.4234,0.5766
3.1700,10.0000,9.4291,0.5709
3.1800,10.0000,9.4348,0.5652
3.1900,10.0000,9.4404,0.5596
3.2000,10.0000,9.4460,0.5540
3.2100,10.0000,9.4515,0.5485
3.2200,10.0000,9.4570,0.5430
3.2300,10.0000,9.4624,0.5376
3.2400,10.0000,9.4677,0.5323
3.2500,10.0000,9.4730,0.5270
3.2600,10.0000,9.4782,0.5218
3.2700,10.0000,9.4834,0.5166
3.2800,10.0000,9.4886,0.5114
3.2900,10.0000,9.4937,0.5063
3.3000,10.0000,9.4987,0.5013
3.3100,10.0000,9.5037,0.4963
3.3200,10.0000,9.5086,0.4914
3.3300,10.0000,9.5135,0.4865
3.3400,10.0000,9.5184,0.4816
3.3500,10.0000,9.5232,0.4768
3.3600,10.0000,9.5279,0.4721
3.3700,10.0000,9.5326,0.4674
3.3800,10.0000,9.5372,0.4628
3.3900,10.0000,9.5419,0.4581
3.4000,10.0000,9.5464,0.4536
3.4100,10.0000,9.5509,0.4491
3.4200,10.0000,9.5554,0.4446
3.4300,10.0000,9.5598,0.4402
3.4400,10.0000,9.5642,0.4358
3.4500,10.0000,9.5685,0.4315
3.4600,10.0000,9.5728,0.4272
3.4700,10.0000,9.5771,0.4229
3.4800,10.0000,9.5813,0.4187
3.4900,10.0000,9.5855,0.4145
3.5000,10.0000,9.5896,0.4104
3.5100,10.0000,9.5937,0.4063
3.5200,10.0000,9.5977,0.4023
3.5300,10.0000,9.6017,0.3983
3.5400,10.0000,9.6057,0.3943
3.5500,10.0000,9.6096,0.3904
3.5600,10.0000,9.6135,0.3865
3.5700,10.0000,9.6173,0.3827
3.5800,10.0000,9.6211,0.3789
3.5900,10.0000,9.6249,0.3751
3.6000,10.0000,9.6286,0.3714
3.6100,10.0000,9.6323,0.3677
3.6200,10.0000,9.6360,0.3640
3.6300,10.0000,9.6396,0.3604
3.6400,10.0000,9.6432,0.3568
3.6500,10.0000,9.6467,0.3533
3.6600,10.0000,9.6503,0.3497
3.6700,10.0000,9.6537,0.3463
3.6800,10.0000,9.6572,0.3428
3.6900,10.0000,9.6606,0.3394
3.7000,10.0000,9.6640,0.3360
3.7100,10.0000,9.6673,0.3327
3.7200,10.0000,9.6706,0.3294
3.7300,10.0000,9.6739,0.3261
3.7400,10.0000,9.6771,0.3229
3.7500,10.0000,9.6804,0.3196
3.7600,10.0000,9.6835,0.3165
3.7700,10.0000,9.6867,0.3133
3.7800,10.0000,9.6898,0.3102
3.7900,10.0000,9.6929,0.3071
3.8000,10.0000,9.6959,0.3041
3.8100,10.0000,9.6990,0.3010
3.8200,10.0000,9.7020,0.2980
3.8300,10.0000,9.7049,0.2951
3.8400,10.0000,9.7079,0.2921
3.8500,10.0000,9.7108,0.2892
3.8600,10.0000,9.7137,0.2863
3.8700,10.0000,9.7165,0.2835
3.8800,10.0000,9.7193,0.2807
3.8900,10.0000,9.7221,0.2779
3.9000,10.0000,9.7249,0.2751
3.9100,10.0000,9.7276,0.2724
3.9200,10.0000,9.7303,0.2697
3.9300,10.0000,9.7330,0.2670
3.9400,10.0000,9.7357,0.2643
3.9500,10.0000,9.7383,0.2617
3.9600,10.0000,9.7409,0.2591
3.9700,10.0000,9.7435,0.2565
3.9800,10.0000,9.7460,0.2540
3.9900,10.0000,9.7486,0.2514
4.0000,5.0000,9.7511,-4.7511
4.0100,5.0000,9.7038,-4.7038
4.0200,5.0000,9.6570,-4.6570
4.0300,5.0000,9.6106,-4.6106
4.0400,5.0000,9.5648,-4.5648
4.0500,5.0000,9.5194,-4.5194
4.0600,5.0000,9.4744,-4.4744
4.0700,5.0000,9.4299,-4.4299
4.0800,5.0000,9.3858,-4.3858
4.0900,5.0000,9.3421,-4.3421
4.1000,5.0000,9.2989,-4.2989
4.1100,5.0000,9.2562,-4.2562
4.1200,5.0000,9.2138,-4.2138
4.1300,5.0000,9.1719,-4.1719
4.1400,5.0000,9.1304,-4.1304
4.1500,5.0000,9.0893,-4.0893
4.1600,5.0000,9.0486,-4.0486
4.1700,5.0000,9.0083,-4.0083
4.1800,5.0000,8.9684,-3.9684
4.1900,5.0000,8.9289,-3.9289
4.2000,5.0000,8.8898,-3.8898
4.2100,5.0000,8.8511,-3.8511
4.2200,5.0000,8.8128,-3.8128
4.2300,5.0000,8.7749,-3.7749
4.2400,5.0000,8.7373,-3.7373
4.2500,5.0000,8.7001,-3.7001
4.2600,5.0000,8.6633,-3.6633
4.2700,5.0000,8.6269,-3.6269
4.2800,5.0000,8.5908,-3.5908
4.2900,5.0000,8.5550,-3.5550
4.3000,5.0000,8.5197,-3.5197
4.3100,5.0000,8.4847,-3.4847
4.3200,5.0000,8.4500,-3.4500
4.3300,5.0000,8.4157,-3.4157
4.3400,5.0000,8.3817,-3.3817
4.3500,5.0000,8.3480,-3.3480
